category,name,formula_latex,formula_ascii,description,parameters,parameter_values,complexity_time,complexity_space,pipeline_stages,is_lossless,prerequisites
TRANSFORM,Move-to-Front Transform,MTF(s_i) = \text{position of } s_i \text{ in list } L; \text{ move } s_i \text{ to front},"MTF(s_i) = index_of(s_i, L); then move s_i to L[0]",Exploits locality by outputting small numbers for recently-seen symbols,"{""alphabet_size"": ""size of symbol alphabet""}","{""alphabet_size"": 65536}",O(n * |Σ|),O(|Σ|),[2],True,"[""Burrows-Wheeler Transform""]"
TRANSFORM,Discrete Cosine Transform,X_k = \sum_{n=0}^{N-1} x_n \cos\left[\frac{\pi}{N}\left(n+\frac{1}{2}\right)k\right],X_k = SUM(x_n * cos(pi/N * (n + 0.5) * k)) for n=0 to N-1,Frequency-domain transform; used in JPEG (lossy variant exists),"{""N"": ""block size""}","{""N"": 8}",O(n log n),O(n),[1],True,[]
TRANSFORM,Discrete Cosine Transform,X_k = \sum_{n=0}^{N-1} x_n \cos\left[\frac{\pi}{N}\left(n+\frac{1}{2}\right)k\right],X_k = SUM(x_n * cos(pi/N * (n + 0.5) * k)) for n=0 to N-1,Frequency-domain transform; used in JPEG (lossy variant exists),"{""N"": ""block size""}","{""N"": 16}",O(n log n),O(n),[1],True,[]
TRANSFORM,Discrete Cosine Transform,X_k = \sum_{n=0}^{N-1} x_n \cos\left[\frac{\pi}{N}\left(n+\frac{1}{2}\right)k\right],X_k = SUM(x_n * cos(pi/N * (n + 0.5) * k)) for n=0 to N-1,Frequency-domain transform; used in JPEG (lossy variant exists),"{""N"": ""block size""}","{""N"": 32}",O(n log n),O(n),[1],True,[]
TRANSFORM,Delta Encoding,"\Delta_i = x_i - x_{i-1}, \quad x_0' = x_0",delta_i = x_i - x_{i-1}; x_0' = x_0,Stores differences between consecutive values; effective for sorted/smooth data,"{""order"": ""delta order (1=first difference, 2=second difference)""}","{""order"": 1}",O(n),O(1),[1],True,[]
TRANSFORM,Delta Encoding,"\Delta_i = x_i - x_{i-1}, \quad x_0' = x_0",delta_i = x_i - x_{i-1}; x_0' = x_0,Stores differences between consecutive values; effective for sorted/smooth data,"{""order"": ""delta order (1=first difference, 2=second difference)""}","{""order"": 2}",O(n),O(1),[1],True,[]
TRANSFORM,Delta Encoding,"\Delta_i = x_i - x_{i-1}, \quad x_0' = x_0",delta_i = x_i - x_{i-1}; x_0' = x_0,Stores differences between consecutive values; effective for sorted/smooth data,"{""order"": ""delta order (1=first difference, 2=second difference)""}","{""order"": 3}",O(n),O(1),[1],True,[]
TRANSFORM,XOR Delta,d_i = x_i \oplus x_{i-1},d_i = x_i XOR x_{i-1},Bitwise delta; preserves structure in binary data with similar consecutive values,{},{},O(n),O(1),[1],True,[]
TRANSFORM,Integer Wavelet Transform (Lifting),d_j[n] = x[2n+1] - \lfloor(x[2n] + x[2n+2])/2\rfloor; \quad s_j[n] = x[2n] + \lfloor d_j[n]/4 \rfloor,d_j[n] = x[2n+1] - floor((x[2n] + x[2n+2])/2); s_j[n] = x[2n] + floor(d_j[n]/4),Lossless wavelet via integer lifting scheme; used in JPEG 2000 lossless mode,"{""levels"": ""decomposition levels""}","{""levels"": 1}",O(n),O(n),[1],True,[]
TRANSFORM,Integer Wavelet Transform (Lifting),d_j[n] = x[2n+1] - \lfloor(x[2n] + x[2n+2])/2\rfloor; \quad s_j[n] = x[2n] + \lfloor d_j[n]/4 \rfloor,d_j[n] = x[2n+1] - floor((x[2n] + x[2n+2])/2); s_j[n] = x[2n] + floor(d_j[n]/4),Lossless wavelet via integer lifting scheme; used in JPEG 2000 lossless mode,"{""levels"": ""decomposition levels""}","{""levels"": 2}",O(n),O(n),[1],True,[]
TRANSFORM,Integer Wavelet Transform (Lifting),d_j[n] = x[2n+1] - \lfloor(x[2n] + x[2n+2])/2\rfloor; \quad s_j[n] = x[2n] + \lfloor d_j[n]/4 \rfloor,d_j[n] = x[2n+1] - floor((x[2n] + x[2n+2])/2); s_j[n] = x[2n] + floor(d_j[n]/4),Lossless wavelet via integer lifting scheme; used in JPEG 2000 lossless mode,"{""levels"": ""decomposition levels""}","{""levels"": 3}",O(n),O(n),[1],True,[]
TRANSFORM,Integer Wavelet Transform (Lifting),d_j[n] = x[2n+1] - \lfloor(x[2n] + x[2n+2])/2\rfloor; \quad s_j[n] = x[2n] + \lfloor d_j[n]/4 \rfloor,d_j[n] = x[2n+1] - floor((x[2n] + x[2n+2])/2); s_j[n] = x[2n] + floor(d_j[n]/4),Lossless wavelet via integer lifting scheme; used in JPEG 2000 lossless mode,"{""levels"": ""decomposition levels""}","{""levels"": 4}",O(n),O(n),[1],True,[]
TRANSFORM,Byte Pair Encoding (Transform),"BPE(s) = \text{replace most frequent pair } (a,b) \text{ with new symbol } c","BPE(s) = iteratively_replace(most_frequent_pair, new_symbol)",Iteratively replaces frequent byte pairs; creates implicit dictionary,"{""max_iterations"": ""maximum replacement iterations""}","{""max_iterations"": 100}",O(n * iterations),O(|vocab|),[1],True,[]
TRANSFORM,Byte Pair Encoding (Transform),"BPE(s) = \text{replace most frequent pair } (a,b) \text{ with new symbol } c","BPE(s) = iteratively_replace(most_frequent_pair, new_symbol)",Iteratively replaces frequent byte pairs; creates implicit dictionary,"{""max_iterations"": ""maximum replacement iterations""}","{""max_iterations"": 1000}",O(n * iterations),O(|vocab|),[1],True,[]
TRANSFORM,Byte Pair Encoding (Transform),"BPE(s) = \text{replace most frequent pair } (a,b) \text{ with new symbol } c","BPE(s) = iteratively_replace(most_frequent_pair, new_symbol)",Iteratively replaces frequent byte pairs; creates implicit dictionary,"{""max_iterations"": ""maximum replacement iterations""}","{""max_iterations"": 10000}",O(n * iterations),O(|vocab|),[1],True,[]
PREDICTOR,Order-N Markov Predictor,"P(x_i | x_{i-1}, ..., x_{i-n}) = \frac{C(x_{i-n}...x_i)}{C(x_{i-n}...x_{i-1})}",P(x_i | context) = count(context + x_i) / count(context),Predicts next symbol based on preceding n symbols; basis for PPM,"{""order"": ""context length n""}","{""order"": 0}",O(n),O(|Σ|^order),[2],True,[]
PREDICTOR,Order-N Markov Predictor,"P(x_i | x_{i-1}, ..., x_{i-n}) = \frac{C(x_{i-n}...x_i)}{C(x_{i-n}...x_{i-1})}",P(x_i | context) = count(context + x_i) / count(context),Predicts next symbol based on preceding n symbols; basis for PPM,"{""order"": ""context length n""}","{""order"": 1}",O(n),O(|Σ|^order),[2],True,[]
PREDICTOR,Order-N Markov Predictor,"P(x_i | x_{i-1}, ..., x_{i-n}) = \frac{C(x_{i-n}...x_i)}{C(x_{i-n}...x_{i-1})}",P(x_i | context) = count(context + x_i) / count(context),Predicts next symbol based on preceding n symbols; basis for PPM,"{""order"": ""context length n""}","{""order"": 2}",O(n),O(|Σ|^order),[2],True,[]
PREDICTOR,Order-N Markov Predictor,"P(x_i | x_{i-1}, ..., x_{i-n}) = \frac{C(x_{i-n}...x_i)}{C(x_{i-n}...x_{i-1})}",P(x_i | context) = count(context + x_i) / count(context),Predicts next symbol based on preceding n symbols; basis for PPM,"{""order"": ""context length n""}","{""order"": 3}",O(n),O(|Σ|^order),[2],True,[]
PREDICTOR,Order-N Markov Predictor,"P(x_i | x_{i-1}, ..., x_{i-n}) = \frac{C(x_{i-n}...x_i)}{C(x_{i-n}...x_{i-1})}",P(x_i | context) = count(context + x_i) / count(context),Predicts next symbol based on preceding n symbols; basis for PPM,"{""order"": ""context length n""}","{""order"": 4}",O(n),O(|Σ|^order),[2],True,[]
PREDICTOR,Order-N Markov Predictor,"P(x_i | x_{i-1}, ..., x_{i-n}) = \frac{C(x_{i-n}...x_i)}{C(x_{i-n}...x_{i-1})}",P(x_i | context) = count(context + x_i) / count(context),Predicts next symbol based on preceding n symbols; basis for PPM,"{""order"": ""context length n""}","{""order"": 5}",O(n),O(|Σ|^order),[2],True,[]
PREDICTOR,Order-N Markov Predictor,"P(x_i | x_{i-1}, ..., x_{i-n}) = \frac{C(x_{i-n}...x_i)}{C(x_{i-n}...x_{i-1})}",P(x_i | context) = count(context + x_i) / count(context),Predicts next symbol based on preceding n symbols; basis for PPM,"{""order"": ""context length n""}","{""order"": 6}",O(n),O(|Σ|^order),[2],True,[]
PREDICTOR,Prediction by Partial Matching (PPM),P(x) = \lambda_n P_n(x) + (1-\lambda_n)[\lambda_{n-1} P_{n-1}(x) + ...],"P(x) = weighted_blend(P_order_n(x), P_order_n-1(x), ..., P_order_0(x))",Blends predictions from multiple context orders with escape mechanism,"{""max_order"": ""maximum context order"", ""escape"": ""escape method""}","{""max_order"": 4, ""escape"": ""PPMA""}",O(n * max_order),O(|Σ|^max_order),[2],True,[]
PREDICTOR,Prediction by Partial Matching (PPM),P(x) = \lambda_n P_n(x) + (1-\lambda_n)[\lambda_{n-1} P_{n-1}(x) + ...],"P(x) = weighted_blend(P_order_n(x), P_order_n-1(x), ..., P_order_0(x))",Blends predictions from multiple context orders with escape mechanism,"{""max_order"": ""maximum context order"", ""escape"": ""escape method""}","{""max_order"": 4, ""escape"": ""PPMB""}",O(n * max_order),O(|Σ|^max_order),[2],True,[]
PREDICTOR,Prediction by Partial Matching (PPM),P(x) = \lambda_n P_n(x) + (1-\lambda_n)[\lambda_{n-1} P_{n-1}(x) + ...],"P(x) = weighted_blend(P_order_n(x), P_order_n-1(x), ..., P_order_0(x))",Blends predictions from multiple context orders with escape mechanism,"{""max_order"": ""maximum context order"", ""escape"": ""escape method""}","{""max_order"": 4, ""escape"": ""PPMC""}",O(n * max_order),O(|Σ|^max_order),[2],True,[]
PREDICTOR,Prediction by Partial Matching (PPM),P(x) = \lambda_n P_n(x) + (1-\lambda_n)[\lambda_{n-1} P_{n-1}(x) + ...],"P(x) = weighted_blend(P_order_n(x), P_order_n-1(x), ..., P_order_0(x))",Blends predictions from multiple context orders with escape mechanism,"{""max_order"": ""maximum context order"", ""escape"": ""escape method""}","{""max_order"": 4, ""escape"": ""PPMD""}",O(n * max_order),O(|Σ|^max_order),[2],True,[]
PREDICTOR,Prediction by Partial Matching (PPM),P(x) = \lambda_n P_n(x) + (1-\lambda_n)[\lambda_{n-1} P_{n-1}(x) + ...],"P(x) = weighted_blend(P_order_n(x), P_order_n-1(x), ..., P_order_0(x))",Blends predictions from multiple context orders with escape mechanism,"{""max_order"": ""maximum context order"", ""escape"": ""escape method""}","{""max_order"": 4, ""escape"": ""PPMD+""}",O(n * max_order),O(|Σ|^max_order),[2],True,[]
PREDICTOR,Prediction by Partial Matching (PPM),P(x) = \lambda_n P_n(x) + (1-\lambda_n)[\lambda_{n-1} P_{n-1}(x) + ...],"P(x) = weighted_blend(P_order_n(x), P_order_n-1(x), ..., P_order_0(x))",Blends predictions from multiple context orders with escape mechanism,"{""max_order"": ""maximum context order"", ""escape"": ""escape method""}","{""max_order"": 5, ""escape"": ""PPMA""}",O(n * max_order),O(|Σ|^max_order),[2],True,[]
PREDICTOR,Prediction by Partial Matching (PPM),P(x) = \lambda_n P_n(x) + (1-\lambda_n)[\lambda_{n-1} P_{n-1}(x) + ...],"P(x) = weighted_blend(P_order_n(x), P_order_n-1(x), ..., P_order_0(x))",Blends predictions from multiple context orders with escape mechanism,"{""max_order"": ""maximum context order"", ""escape"": ""escape method""}","{""max_order"": 5, ""escape"": ""PPMB""}",O(n * max_order),O(|Σ|^max_order),[2],True,[]
PREDICTOR,Prediction by Partial Matching (PPM),P(x) = \lambda_n P_n(x) + (1-\lambda_n)[\lambda_{n-1} P_{n-1}(x) + ...],"P(x) = weighted_blend(P_order_n(x), P_order_n-1(x), ..., P_order_0(x))",Blends predictions from multiple context orders with escape mechanism,"{""max_order"": ""maximum context order"", ""escape"": ""escape method""}","{""max_order"": 5, ""escape"": ""PPMC""}",O(n * max_order),O(|Σ|^max_order),[2],True,[]
PREDICTOR,Prediction by Partial Matching (PPM),P(x) = \lambda_n P_n(x) + (1-\lambda_n)[\lambda_{n-1} P_{n-1}(x) + ...],"P(x) = weighted_blend(P_order_n(x), P_order_n-1(x), ..., P_order_0(x))",Blends predictions from multiple context orders with escape mechanism,"{""max_order"": ""maximum context order"", ""escape"": ""escape method""}","{""max_order"": 5, ""escape"": ""PPMD""}",O(n * max_order),O(|Σ|^max_order),[2],True,[]
PREDICTOR,Prediction by Partial Matching (PPM),P(x) = \lambda_n P_n(x) + (1-\lambda_n)[\lambda_{n-1} P_{n-1}(x) + ...],"P(x) = weighted_blend(P_order_n(x), P_order_n-1(x), ..., P_order_0(x))",Blends predictions from multiple context orders with escape mechanism,"{""max_order"": ""maximum context order"", ""escape"": ""escape method""}","{""max_order"": 5, ""escape"": ""PPMD+""}",O(n * max_order),O(|Σ|^max_order),[2],True,[]
PREDICTOR,Prediction by Partial Matching (PPM),P(x) = \lambda_n P_n(x) + (1-\lambda_n)[\lambda_{n-1} P_{n-1}(x) + ...],"P(x) = weighted_blend(P_order_n(x), P_order_n-1(x), ..., P_order_0(x))",Blends predictions from multiple context orders with escape mechanism,"{""max_order"": ""maximum context order"", ""escape"": ""escape method""}","{""max_order"": 6, ""escape"": ""PPMA""}",O(n * max_order),O(|Σ|^max_order),[2],True,[]
PREDICTOR,Prediction by Partial Matching (PPM),P(x) = \lambda_n P_n(x) + (1-\lambda_n)[\lambda_{n-1} P_{n-1}(x) + ...],"P(x) = weighted_blend(P_order_n(x), P_order_n-1(x), ..., P_order_0(x))",Blends predictions from multiple context orders with escape mechanism,"{""max_order"": ""maximum context order"", ""escape"": ""escape method""}","{""max_order"": 6, ""escape"": ""PPMB""}",O(n * max_order),O(|Σ|^max_order),[2],True,[]
PREDICTOR,Prediction by Partial Matching (PPM),P(x) = \lambda_n P_n(x) + (1-\lambda_n)[\lambda_{n-1} P_{n-1}(x) + ...],"P(x) = weighted_blend(P_order_n(x), P_order_n-1(x), ..., P_order_0(x))",Blends predictions from multiple context orders with escape mechanism,"{""max_order"": ""maximum context order"", ""escape"": ""escape method""}","{""max_order"": 6, ""escape"": ""PPMC""}",O(n * max_order),O(|Σ|^max_order),[2],True,[]
PREDICTOR,Prediction by Partial Matching (PPM),P(x) = \lambda_n P_n(x) + (1-\lambda_n)[\lambda_{n-1} P_{n-1}(x) + ...],"P(x) = weighted_blend(P_order_n(x), P_order_n-1(x), ..., P_order_0(x))",Blends predictions from multiple context orders with escape mechanism,"{""max_order"": ""maximum context order"", ""escape"": ""escape method""}","{""max_order"": 6, ""escape"": ""PPMD""}",O(n * max_order),O(|Σ|^max_order),[2],True,[]
PREDICTOR,Prediction by Partial Matching (PPM),P(x) = \lambda_n P_n(x) + (1-\lambda_n)[\lambda_{n-1} P_{n-1}(x) + ...],"P(x) = weighted_blend(P_order_n(x), P_order_n-1(x), ..., P_order_0(x))",Blends predictions from multiple context orders with escape mechanism,"{""max_order"": ""maximum context order"", ""escape"": ""escape method""}","{""max_order"": 6, ""escape"": ""PPMD+""}",O(n * max_order),O(|Σ|^max_order),[2],True,[]
PREDICTOR,Prediction by Partial Matching (PPM),P(x) = \lambda_n P_n(x) + (1-\lambda_n)[\lambda_{n-1} P_{n-1}(x) + ...],"P(x) = weighted_blend(P_order_n(x), P_order_n-1(x), ..., P_order_0(x))",Blends predictions from multiple context orders with escape mechanism,"{""max_order"": ""maximum context order"", ""escape"": ""escape method""}","{""max_order"": 8, ""escape"": ""PPMA""}",O(n * max_order),O(|Σ|^max_order),[2],True,[]
PREDICTOR,Prediction by Partial Matching (PPM),P(x) = \lambda_n P_n(x) + (1-\lambda_n)[\lambda_{n-1} P_{n-1}(x) + ...],"P(x) = weighted_blend(P_order_n(x), P_order_n-1(x), ..., P_order_0(x))",Blends predictions from multiple context orders with escape mechanism,"{""max_order"": ""maximum context order"", ""escape"": ""escape method""}","{""max_order"": 8, ""escape"": ""PPMB""}",O(n * max_order),O(|Σ|^max_order),[2],True,[]
PREDICTOR,Prediction by Partial Matching (PPM),P(x) = \lambda_n P_n(x) + (1-\lambda_n)[\lambda_{n-1} P_{n-1}(x) + ...],"P(x) = weighted_blend(P_order_n(x), P_order_n-1(x), ..., P_order_0(x))",Blends predictions from multiple context orders with escape mechanism,"{""max_order"": ""maximum context order"", ""escape"": ""escape method""}","{""max_order"": 8, ""escape"": ""PPMC""}",O(n * max_order),O(|Σ|^max_order),[2],True,[]
PREDICTOR,Prediction by Partial Matching (PPM),P(x) = \lambda_n P_n(x) + (1-\lambda_n)[\lambda_{n-1} P_{n-1}(x) + ...],"P(x) = weighted_blend(P_order_n(x), P_order_n-1(x), ..., P_order_0(x))",Blends predictions from multiple context orders with escape mechanism,"{""max_order"": ""maximum context order"", ""escape"": ""escape method""}","{""max_order"": 8, ""escape"": ""PPMD""}",O(n * max_order),O(|Σ|^max_order),[2],True,[]
PREDICTOR,Prediction by Partial Matching (PPM),P(x) = \lambda_n P_n(x) + (1-\lambda_n)[\lambda_{n-1} P_{n-1}(x) + ...],"P(x) = weighted_blend(P_order_n(x), P_order_n-1(x), ..., P_order_0(x))",Blends predictions from multiple context orders with escape mechanism,"{""max_order"": ""maximum context order"", ""escape"": ""escape method""}","{""max_order"": 8, ""escape"": ""PPMD+""}",O(n * max_order),O(|Σ|^max_order),[2],True,[]
PREDICTOR,Dynamic Markov Compression (DMC),"P(b|state) = \frac{count(state, b) + 1}{count(state) + 2}; \text{ clone states adaptively}","P(bit|state) = (count(state,bit) + 1) / (count(state) + 2); clone when threshold exceeded",Bit-level Markov model that dynamically clones states,"{""threshold"": ""cloning threshold""}","{""threshold"": 2}",O(n),O(states),[2],True,[]
PREDICTOR,Dynamic Markov Compression (DMC),"P(b|state) = \frac{count(state, b) + 1}{count(state) + 2}; \text{ clone states adaptively}","P(bit|state) = (count(state,bit) + 1) / (count(state) + 2); clone when threshold exceeded",Bit-level Markov model that dynamically clones states,"{""threshold"": ""cloning threshold""}","{""threshold"": 4}",O(n),O(states),[2],True,[]
PREDICTOR,Dynamic Markov Compression (DMC),"P(b|state) = \frac{count(state, b) + 1}{count(state) + 2}; \text{ clone states adaptively}","P(bit|state) = (count(state,bit) + 1) / (count(state) + 2); clone when threshold exceeded",Bit-level Markov model that dynamically clones states,"{""threshold"": ""cloning threshold""}","{""threshold"": 8}",O(n),O(states),[2],True,[]
PREDICTOR,Dynamic Markov Compression (DMC),"P(b|state) = \frac{count(state, b) + 1}{count(state) + 2}; \text{ clone states adaptively}","P(bit|state) = (count(state,bit) + 1) / (count(state) + 2); clone when threshold exceeded",Bit-level Markov model that dynamically clones states,"{""threshold"": ""cloning threshold""}","{""threshold"": 16}",O(n),O(states),[2],True,[]
PREDICTOR,Linear Predictor,\hat{x}_i = \sum_{j=1}^{p} a_j x_{i-j},x_hat_i = SUM(a_j * x_{i-j}) for j=1 to p,"Linear combination of previous samples; used in FLAC, PNG","{""order"": ""predictor order p"", ""coefficients"": ""predictor coefficients""}","{""order"": 1}",O(n * p),O(p),"[1, 2]",True,[]
PREDICTOR,Linear Predictor,\hat{x}_i = \sum_{j=1}^{p} a_j x_{i-j},x_hat_i = SUM(a_j * x_{i-j}) for j=1 to p,"Linear combination of previous samples; used in FLAC, PNG","{""order"": ""predictor order p"", ""coefficients"": ""predictor coefficients""}","{""order"": 2}",O(n * p),O(p),"[1, 2]",True,[]
PREDICTOR,Linear Predictor,\hat{x}_i = \sum_{j=1}^{p} a_j x_{i-j},x_hat_i = SUM(a_j * x_{i-j}) for j=1 to p,"Linear combination of previous samples; used in FLAC, PNG","{""order"": ""predictor order p"", ""coefficients"": ""predictor coefficients""}","{""order"": 3}",O(n * p),O(p),"[1, 2]",True,[]
PREDICTOR,Linear Predictor,\hat{x}_i = \sum_{j=1}^{p} a_j x_{i-j},x_hat_i = SUM(a_j * x_{i-j}) for j=1 to p,"Linear combination of previous samples; used in FLAC, PNG","{""order"": ""predictor order p"", ""coefficients"": ""predictor coefficients""}","{""order"": 4}",O(n * p),O(p),"[1, 2]",True,[]
PREDICTOR,PNG Predictors (Paeth),"Paeth(a,b,c) = \text{argmin}_{x \in \{a,b,c\}} |x - (a+b-c)|","Paeth(left, above, upper_left) = closest_to(left + above - upper_left)",2D predictor selecting from left/above/diagonal based on gradient,{},{},O(1) per pixel,O(width),[1],True,[]
PREDICTOR,Context Tree Weighting (CTW),P_s = \frac{1}{2}P_e(s) + \frac{1}{2}P_{s0}P_{s1},P_s = 0.5 * P_estimated(s) + 0.5 * P_child0 * P_child1,Bayesian mixture over all context tree depths; theoretically optimal,"{""max_depth"": ""maximum tree depth""}","{""max_depth"": 8}",O(n * depth),O(2^depth),[2],True,[]
PREDICTOR,Context Tree Weighting (CTW),P_s = \frac{1}{2}P_e(s) + \frac{1}{2}P_{s0}P_{s1},P_s = 0.5 * P_estimated(s) + 0.5 * P_child0 * P_child1,Bayesian mixture over all context tree depths; theoretically optimal,"{""max_depth"": ""maximum tree depth""}","{""max_depth"": 16}",O(n * depth),O(2^depth),[2],True,[]
PREDICTOR,Context Tree Weighting (CTW),P_s = \frac{1}{2}P_e(s) + \frac{1}{2}P_{s0}P_{s1},P_s = 0.5 * P_estimated(s) + 0.5 * P_child0 * P_child1,Bayesian mixture over all context tree depths; theoretically optimal,"{""max_depth"": ""maximum tree depth""}","{""max_depth"": 24}",O(n * depth),O(2^depth),[2],True,[]
PREDICTOR,Context Tree Weighting (CTW),P_s = \frac{1}{2}P_e(s) + \frac{1}{2}P_{s0}P_{s1},P_s = 0.5 * P_estimated(s) + 0.5 * P_child0 * P_child1,Bayesian mixture over all context tree depths; theoretically optimal,"{""max_depth"": ""maximum tree depth""}","{""max_depth"": 32}",O(n * depth),O(2^depth),[2],True,[]
PREDICTOR,Context Tree Weighting (CTW),P_s = \frac{1}{2}P_e(s) + \frac{1}{2}P_{s0}P_{s1},P_s = 0.5 * P_estimated(s) + 0.5 * P_child0 * P_child1,Bayesian mixture over all context tree depths; theoretically optimal,"{""max_depth"": ""maximum tree depth""}","{""max_depth"": 48}",O(n * depth),O(2^depth),[2],True,[]
DICTIONARY,LZ77 (Sliding Window),"(d, l, c) \text{ where } d = \text{distance}, l = \text{length}, c = \text{next char}","encode(match) = (distance_back, match_length, next_char)",Replace repeated sequences with back-references; basis for DEFLATE,"{""window_size"": ""sliding window size"", ""lookahead_size"": ""lookahead buffer size""}","{""window_size"": 4096, ""lookahead_size"": 16}",O(n * window),O(window),"[1, 2]",True,[]
DICTIONARY,LZ77 (Sliding Window),"(d, l, c) \text{ where } d = \text{distance}, l = \text{length}, c = \text{next char}","encode(match) = (distance_back, match_length, next_char)",Replace repeated sequences with back-references; basis for DEFLATE,"{""window_size"": ""sliding window size"", ""lookahead_size"": ""lookahead buffer size""}","{""window_size"": 4096, ""lookahead_size"": 32}",O(n * window),O(window),"[1, 2]",True,[]
